correction;amortization;interest;balance;dfi;mip;payment;rent;rent_savings;home_value;equity;purchase_savings
0.0;1130.84;1006.22;176830.65;21.84;119.36068875000001;2278.26068875;1329.85;270983.7894564569;456674.74834010546;279844.0983401055;252443.61343969917
0.0;1137.38;999.83;175693.27;21.84;118.59295725;2277.64295725;1329.85;272194.0713023478;457147.7473907121;281454.4773907121;254025.6125472694
0.0;1143.96;993.4;174549.32;21.84;117.82079100000001;2277.0207910000004;1329.85;273404.8986368162;457621.23634820036;283071.91634820035;255614.64216730834
0.0;1150.57;986.93;173398.74;21.84;117.0441495;2276.3841495;1329.85;274616.25749718613;458095.2157199893;284696.47571998934;257210.76277678998
0.0;1157.23;980.42;172241.52;21.84;116.263026;2275.7530260000003;1329.85;275745.4054736771;458569.68601402367;286328.1660140237;258813.98485318228
0.0;1163.92;973.88;171077.6;21.84;115.47738000000001;2275.11738;1346.48;276941.1095230938;459044.6477387742;287967.0477387742;260424.36887444777
0.0;1170.65;967.3;169906.94;21.84;114.6871845;2274.4771845;1346.48;278137.32694284525;459520.10140323825;289613.16140323825;262041.95531904395
0.0;1177.42;960.68;168729.52;21.84;113.892426;2273.832426;1346.48;279334.05366107076;459996.04751694045;291266.5275169405;263666.76466592407
0.0;1184.23;954.02;167545.29;21.84;113.09307075000001;2273.1830707500003;1346.48;280531.2855681965;460472.4865899331;292927.1965899331;265298.8473945371
0.0;1191.08;947.33;166354.2;21.84;112.28908500000001;2272.539085;1346.48;281729.02852655196;460949.4191327969;294595.21913279686;266938.25398482906
0.0;1197.97;940.59;165156.23;21.84;111.48045525000002;2271.88045525;1346.48;282927.2683713069;461426.8456566412;296270.6156566412;268585.00491724274
0.0;1204.9;933.82;163951.32;21.84;110.66714100000002;2271.2271410000003;1346.48;284126.01090272446;461904.7666731049;297953.4466731049;270239.1606727186
0.0;1211.87;927.0;162739.45;21.84;109.84912875000002;2270.55912875;1346.48;285325.2418938482;462383.1826943567;299643.7326943567;271900.7417326953
0.0;1218.89;920.15;161520.56;21.84;109.02637800000001;2269.906378;1346.48;286524.9770924077;462862.09423309594;301341.53423309594;273569.8085791102
0.0;1225.94;913.26;160294.63;21.84;108.19887525000001;2269.23887525;1346.48;287725.2022188624;463341.5018025528;303046.8718025528;275246.38169439964
0.0;1233.03;906.33;159061.6;21.84;107.36658000000001;2268.56658;1346.48;288925.9129490016;463821.40591648914;304759.8059164891;276930.52156149974
0.0;1240.17;899.36;157821.43;21.84;106.52946525;2267.8994652500005;1363.31;290023.23561087344;464301.8070891989;306480.3770891989;278622.268663847
0.0;1247.34;892.35;156574.09;21.84;105.68751075;2267.21751075;1363.31;291207.9679592375;464782.70583550876;308208.6158355088;280321.65348537825
0.0;1254.56;885.29;155319.53;21.84;104.84068275;2266.53068275;1363.31;292393.15640970913;465264.10267077864;309944.5726707786;282028.7265105319
0.0;1261.82;878.2;154057.71;21.84;103.98895425;2265.84895425;1363.31;293578.806506975;465745.9981109021;311688.28811090207;283743.528224248
0.0;1269.12;871.06;152788.59;21.84;103.13229825;2265.15229825;1363.31;294764.9037547422;466228.39267230715;313439.8026723071;285466.0991119687
0.0;1276.47;863.89;151512.12;21.84;102.270681;2264.4706810000002;1363.31;295951.46363790066;466711.2868719567;315199.1668719567;287196.4896596393
0.0;1283.86;856.67;150228.27;21.84;101.40408225;2263.77408225;1363.31;297138.4716070598;467194.6812273491;316966.4112273491;288934.73035370815
0.0;1291.29;849.41;148936.98;21.84;100.53246150000001;2263.0724615;1363.31;298325.92306789843;467678.5762565186;318741.5962565186;290680.88168112753
0.0;1298.76;842.11;147638.22;21.84;99.6557985;2262.3657985;1363.31;299513.813401391;468162.97247803607;320524.7524780361;292434.97412935394
0.0;1306.28;834.77;146331.94;21.84;98.7740595;2261.6640595000003;1363.31;300702.14795992343;468647.8704110095;322315.9304110095;294197.05818634894
0.0;1313.84;827.38;145018.09;21.84;97.88721075000001;2260.94721075;1363.31;301890.91204796033;469133.2705750846;324115.18057508464;295967.18434057955
0.0;1321.45;819.95;143696.64;21.84;96.99523200000002;2260.2352320000005;1380.35;303063.0545065227;469619.17349044513;325922.5334904451;297745.3830810184
0.0;1329.1;812.48;142367.54;21.84;96.09808950000001;2259.5180895000003;1380.35;304144.33988754766;470105.5796778138;327738.03967781377;299531.7048971449
0.0;1336.8;804.97;141030.74;21.84;95.1957495;2258.8057495000003;1380.35;305317.22666240425;470592.48965845257;329561.7496584526;301326.20027894544
0.0;1344.54;797.41;139686.19;21.84;94.28817825;2258.07817825;1380.35;306490.5173225483;471079.9039541633;331393.7139541633;303128.9197169135
